GeneID	Locus.ID	Accession	HCT-116 Z-score	HKE-3 Z-score	D Z-score
SERPINI1	5274	NM_005025	3.48	-0.59	4.07
HOXB13	10481	NM_006361	5.67	1.61	4.06
RPS21	6227	NM_001024	7.16	3.12	4.04
RUNX2	860	NM_004348	4.41	0.39	4.02
TDRD7	23424	NM_014290	6.33	2.31	4.02
RPL13A	23521	NM_012423	5.48	1.5	3.98
VPS52	6293	NM_022553	4.46	0.49	3.97
RRN3	54700	NM_018427	3.07	-0.84	3.91
ADH7	131	NM_000673	3.77	-0.13	3.9
C1QA	712	NM_015991	7.1	3.23	3.87
PHF1	5252	NM_002636	3.08	-0.75	3.83
NUP98	4928	NM_005387	6.89	3.06	3.83
MCM3AP	8888	NM_003906	6.89	3.11	3.78
RAN	5901	NM_006325	5.77	1.99	3.78
LAMB3	3914	NM_000228	5.17	1.4	3.77
FOXO4	4303	NM_005938	4.29	0.57	3.72
C1R	715	NM_001733	3.47	-0.25	3.72
ILF3	3609	NM_004516	2.94	-0.77	3.71
CNKSR1	10256	NM_006314	6.08	2.4	3.68
TKTL1	8277	NM_012253	3.48	-0.2	3.68
SORT1	6272	NM_002959	7.12	3.46	3.66
YAP1	10413	NM_006106	2.45	-1.18	3.63
CTCF	10664	NM_006565	7.13	3.52	3.61
ZNF12	51711	NM_016265	3.38	-0.22	3.6
E2F1	1869	NM_005225	2.5	-1.06	3.56
RTEL1	51750	NM_016434	4.63	1.07	3.56
TAPBP	6892	NM_172208	4.69	1.15	3.54
PPP3R1	5534	NM_000945	3.94	0.4	3.54
IGHG4	3503	BC025985	5.64	2.11	3.53
BLR1	643	NM_001716	6.11	2.6	3.51
WASF3	10810	NM_006646	2.8	-0.67	3.47
MAFG	4097	NM_002359	3.15	-0.32	3.47
NDE1	54820	NM_017668	5.89	2.43	3.46
PSMD14	10213	NM_005805	3.16	-0.28	3.44
NFKBIL1	4795	NM_005007	3.85	0.41	3.44
ADAMTS14	140766	NM_080722	3.76	0.32	3.44
NHP2L1	4809	NM_005008	4.89	1.48	3.41
TTRAP	51567	NM_016614	4.99	1.59	3.4
SON	6651	NM_003103	3.87	0.47	3.4
ASH1L	55870	NM_018489	3.38	0.01	3.37
OXGR1	27199	NM_080818	4.72	1.35	3.37
MAGEH1	28986	NM_014061	3.37	0.01	3.36
EIF2B2	8892	NM_014239	4.79	1.43	3.36
RGS20	8601	NM_003702	5.7	2.35	3.35
RRM2	6241	NM_001034	4.12	0.78	3.34
NAGLU	4669	NM_000263	3.44	0.12	3.32
CD68	968	NM_001251	3.72	0.41	3.31
MYBL1	4603	XM_034274	4.79	1.49	3.3
HFE	3077	NM_000410	4.66	1.37	3.29
SERPINB13	5275	NM_012397	3.41	0.13	3.28
CANX	821	NM_001746	3.78	0.5	3.28
GUCY1B3	2983	NM_000857	6.67	3.4	3.27
FKBP3	2287	NM_002013	3.61	0.37	3.24
RPGRIP1	57096	NM_020366	4.87	1.68	3.19
NCF1	4687	NM_000265	3.49	0.3	3.19
CDK5RAP3	80279	NM_025197	4.12	0.93	3.19
BCL2L1	598	NM_138578	6.51	3.32	3.19
KCNB1	3745	NM_004975	4.03	0.85	3.18
DBR1	51163	NM_016216	4.14	0.97	3.17
RPL37A	6168	NM_000998	3.98	0.82	3.16
MTA2	9219	NM_004739	5.88	2.72	3.16
GCK	2645	NM_000162	4.88	1.75	3.13
PKN3	29941	NM_013355	3.43	0.31	3.12
MAD	4084	NM_002357	3.55	0.43	3.12
M96	22823	NM_007358	3.5	0.39	3.11
SRD5A2	6716	NM_000348	3.85	0.75	3.1
KLF3	51274	NM_016531	3.37	0.27	3.1
CCT8	10694	NM_006585	2.19	-0.91	3.1
NCOA7	135112	NM_181782	6.16	3.07	3.09
RABGGTA	5875	NM_004581	4.45	1.36	3.09
MTX1	4580	NM_002455	5.88	2.8	3.08
PPFIA3	8541	NM_003660	2.85	-0.22	3.07
FKHL18	2307	NM_004118	3.06	0	3.06
RASGRP2	10235	NM_005825	5.89	2.83	3.06
IQGAP1	8826	NM_003870	2.18	-0.87	3.05
MEF2C	4208	NM_002397	4.61	1.56	3.05
LENG5	79042	NM_024075	2.55	-0.49	3.04
OTX1	5013	NM_014562	4.09	1.05	3.04
AMID	84883	NM_032797	4.85	1.81	3.04
IVNS1ABP	10625	NM_006469	2.65	-0.38	3.03
MAP2K3	5606	NM_002756	6.98	3.99	2.99
PDCD5	9141	NM_004708	4.41	1.42	2.99
ZFHX1B	9839	NM_014795	3.58	0.61	2.97
TMEM25	84866	NM_032780	3.12	0.17	2.95
HPS4	89781	NM_022081	2.75	-0.18	2.93
AURKC	6795	NM_003160	6.34	3.41	2.93
NTN1	9423	NM_004822	4.92	1.99	2.93
EDG7	23566	NM_012152	4.38	1.47	2.91
CSAD	51380	NM_015989	3.93	1.03	2.9
OPRK1	4986	NM_000912	4.63	1.73	2.9
ALX4	60529	NM_021926	4.15	1.26	2.89
PSMD8	5714	NM_002812	4.91	2.02	2.89
MCM3	4172	NM_002388	2.33	-0.56	2.89
POLR2D	5433	NM_004805	4.46	1.58	2.88
MBD2	8932	NM_003927	2.23	-0.65	2.88
GALK1	2584	NM_000154	5.86	2.99	2.87
TBL3	10607	NM_006453	4.67	1.8	2.87
HSF1	3297	NM_005526	3.64	0.77	2.87
NFAT5	10725	NM_006599	4.24	1.37	2.87
PRKCDBP	112464	NM_145040	5.44	2.59	2.85
UBE2D3	7323	NM_003340	2.62	-0.23	2.85
PPAP2A	8611	NM_003711	2.41	-0.43	2.84
MYL7	58498	NM_021223	4.68	1.84	2.84
SAP30L	79685	NM_024632	4.98	2.15	2.83
RAB33B	83452	NM_031296	3.28	0.45	2.83
FGFR3	2261	NM_000142	4.42	1.6	2.82
NFIX	4784	NM_002501	5.63	2.82	2.81
PSMB4	5692	NM_002796	1.92	-0.88	2.8
TLX2	3196	NM_001534	2.45	-0.34	2.79
COL6A1	1291	NM_001848	4.79	2.01	2.78
K-ALPHA-1	10376	NM_006082	2.68	-0.1	2.78
CENPE	1062	NM_001813	4.54	1.77	2.77
PABPN1	8106	NM_004643	2.81	0.05	2.76
CPD	1362	NM_001304	2.7	-0.06	2.76
TAS1R2	80834	NM_152232	4.45	1.72	2.73
NOS3	4846	NM_000603	4.2	1.47	2.73
CCNB1	891	NM_031966	3.71	0.98	2.73
GAA	2548	NM_000152	4.48	1.76	2.72
SPAG1	6674	NM_003114	4.4	1.68	2.72
MYT1	4661	NM_004535	4.4	1.68	2.72
UBAP2	55833	NM_018449	1.4	-1.32	2.72
CNGA1	1259	NM_000087	2.56	-0.15	2.71
SFRS7	6432	NM_006276	1.9	-0.81	2.71
MED6	10001	NM_005466	4.52	1.81	2.71
HK2	3099	NM_000189	4.04	1.34	2.7
CDY1	9085	NM_004680	3.9	1.2	2.7
BNIP2	663	NM_004330	4.09	1.4	2.69
IL22RA1	58985	NM_021258	3.27	0.59	2.68
PYCR2	29920	NM_013328	3.32	0.64	2.68
DNTTIP1	116092	NM_052951	3.67	0.99	2.68
GRP58	2923	NM_005313	2.29	-0.37	2.66
PPAPDC1	196051	XM_113641	3.39	0.73	2.66
ARFRP1	10139	NM_003224	2.4	-0.26	2.66
PRKAB1	5564	NM_006253	6.48	3.83	2.65
ARSB	411	NM_000046	3.5	0.86	2.64
ALS2CR14	65068	NM_178231	3.11	0.48	2.63
LTF	4057	NM_002343	4	1.39	2.61
NOL1	4839	NM_006170	3.42	0.81	2.61
CCNL1	57018	NM_020307	3.14	0.54	2.6
PUNC	9543	NM_004884	2.24	-0.36	2.6
DKFZp434C1418	285220	NM_173655	5.1	2.5	2.6
MEF2B	4207	NM_005919	4.82	2.23	2.59
TOPBP1	11073	NM_007027	3.58	0.99	2.59
OR1F1	4992	NM_012360	3.25	0.67	2.58
HMGN1	3150	NM_004965	5.57	2.99	2.58
TNA	7123	NM_003278	5.09	2.51	2.58
ALDH1A3	220	NM_000693	3.65	1.08	2.57
PPP1R3D	5509	NM_006242	2.88	0.32	2.56
COL11A2	1302	NM_080679	5.02	2.46	2.56
OR1D2	4991	NM_002548	4.98	2.43	2.55
IL13RA1	3597	NM_001560	5.08	2.53	2.55
CDC25C	995	NM_001790	4.21	1.66	2.55
ELAVL4	1996	NM_021952	4.71	2.17	2.54
TBCA	6902	NM_004607	1.87	-0.67	2.54
TGM1	7051	NM_000359	3.27	0.73	2.54
IRAK3	11213	NM_007199	4.98	2.45	2.53
PRODH	5625	NM_016335	3.12	0.59	2.53
PIK3C2A	5286	NM_002645	6.17	3.65	2.52
WBSCR14	51085	NM_032951	1.92	-0.6	2.52
PPIG	9360	NM_004792	1.28	-1.24	2.52
ZNF587	84914	NM_032828	2	-0.52	2.52
IRS1	3667	NM_005544	4.3	1.78	2.52
CTSB	1508	NM_001908	2.01	-0.51	2.52
ZNF35	7584	NM_003420	2.24	-0.26	2.5
TEF	7008	NM_003216	1.97	-0.53	2.5
GBP1	2633	NM_002053	2.75	0.26	2.49
PLP1	5354	NM_000533	2.62	0.14	2.48
OPN5	221391	NM_181744	3.57	1.09	2.48
BCL11A	53335	NM_018014	3.86	1.39	2.47
DIRAS1	148252	NM_145173	3.84	1.37	2.47
PRSS11	5654	NM_002775	3.42	0.96	2.46
COAS3	200025	AF345651	3.41	0.97	2.44
MEF2D	4209	NM_005920	3.93	1.49	2.44
CAV2	858	NM_001233	2	-0.44	2.44
CTBP1	1487	NM_001328	4	1.56	2.44
NR1H2	7376	NM_007121	6.09	3.66	2.43
FOXC1	2296	NM_001453	3.03	0.61	2.42
PPP1CC	5501	NM_002710	1.3	-1.12	2.42
HPCAL1	3241	NM_002149	2.58	0.17	2.41
ZBTB33	10009	NM_006777	1.37	-1.04	2.41
APOA2	336	NM_001643	4.24	1.84	2.4
HMGN4	10473	NM_006353	6.04	3.64	2.4
GPR77	27202	NM_018485	4.39	2.01	2.38
HAL	3034	NM_002108	2.83	0.45	2.38
CAPZB	832	NM_004930	3.7	1.32	2.38
KPNB1	3837	NM_002265	4.74	2.37	2.37
APLP2	334	NM_001642	2	-0.37	2.37
DNMT1	1786	NM_001379	1.74	-0.63	2.37
CDC27	996	NM_001256	1.97	-0.39	2.36
SYMPK	8189	NM_004819	3.63	1.27	2.36
SERPING1	710	NM_000062	1.47	-0.89	2.36
DGKE	8526	NM_003647	4.89	2.55	2.34
EN2	2020	NM_001427	1.82	-0.52	2.34
CNNM1	26507	NM_020348	3.71	1.38	2.33
CRYBB2	1415	NM_000496	4.21	1.88	2.33
ADAMTS15	170689	NM_139055	1.04	-1.29	2.33
CTSZ	1522	NM_001336	1.59	-0.72	2.31
CCT4	10575	NM_006430	3.21	0.9	2.31
FLNB	2317	NM_001457	2.08	-0.23	2.31
SAG	6295	NM_000541	1.65	-0.66	2.31
NRL	4901	NM_006177	4.66	2.35	2.31
HNT	50863	NM_016522	4.66	2.36	2.3
ENPP5	59084	NM_021572	2.11	-0.19	2.3
CCDC6	8030	NM_005436	3.8	1.5	2.3
IMP-3	10643	NM_006547	1.74	-0.56	2.3
RAD51	5888	NM_002875	3.67	1.38	2.29
KISS1	3814	NM_002256	2.38	0.09	2.29
HSPA2	3306	NM_021979	2.98	0.69	2.29
GSTP1	2950	NM_000852	2.28	-0.01	2.29
HMGB3	3149	NM_005342	3.5	1.22	2.28
CES4	51716	NM_016280	1.93	-0.35	2.28
MSX1	4487	NM_002448	4.17	1.9	2.27
POU2F2	5452	NM_002698	2.9	0.63	2.27
P2RY12	64805	NM_022788	5.58	3.32	2.26
FBXO5	26271	NM_012177	1.98	-0.27	2.25
RNPEP	6051	NM_020216	2.76	0.51	2.25
PAK1	5058	NM_002576	4.11	1.87	2.24
CALM2	805	NM_001743	2.01	-0.23	2.24
CAMK2B	816	NM_001220	3.15	0.92	2.23
HUNK	30811	NM_014586	3.6	1.37	2.23
TJP2	9414	NM_004817	3.04	0.81	2.23
RB1	5925	NM_000321	1.55	-0.68	2.23
CTSH	1512	NM_004390	2.6	0.38	2.22
PSMB10	5699	NM_002801	3.12	0.9	2.22
CTSW	1521	NM_001335	3.19	0.97	2.22
ASAH1	427	NM_004315	1.8	-0.41	2.21
RHOJ	57381	NM_020663	1.47	-0.74	2.21
TP53TG3	24150	NM_015369	1.48	-0.72	2.2
FKBP4	2288	NM_002014	2.37	0.17	2.2
ING1L	3622	NM_001564	2.06	-0.13	2.19
TBP	6908	NM_003194	2.23	0.04	2.19
LIPE	3991	NM_005357	4.14	1.95	2.19
EPHX1	2052	NM_000120	1.87	-0.31	2.18
PCDH9	5101	NM_020403	1.68	-0.5	2.18
ABTB1	80325	NM_172027	1.8	-0.37	2.17
BCL6B	255877	NM_181844	2.19	0.02	2.17
DPP3	10072	NM_005700	1.29	-0.87	2.16
BARX1	56033	NM_021570	1.57	-0.59	2.16
ATP6V1D	51382	NM_015994	1.95	-0.21	2.16
TAF12	6883	NM_005644	2.47	0.32	2.15
DIAPH2	1730	NM_006729	3.17	1.02	2.15
SAS	6302	NM_005981	1.88	-0.27	2.15
PITX2	5308	NM_000325	1.82	-0.33	2.15
HLA-DRB3	3125	NM_022555	4.39	2.25	2.14
MYB	4602	NM_005375	1.3	-0.83	2.13
TCEAL1	9338	NM_004780	3.34	1.21	2.13
ELYS	25909	NM_015446	2.02	-0.11	2.13
TUBB	7280	NM_001069	0.97	-1.16	2.13
ZNF76	7629	NM_003427	1.57	-0.55	2.12
WBSCR1	7458	NM_022170	3.55	1.43	2.12
SRCAP	10847	NM_006662	1.33	-0.79	2.12
PRC1	9055	NM_003981	5.4	3.29	2.11
LMX1A	4009	NM_177398	3.37	1.26	2.11
RFX5	5993	NM_000449	3.06	0.95	2.11
TPO	7173	NM_000547	1.59	-0.52	2.11
SCGB1A1	7356	NM_003357	3.29	1.18	2.11
PSMD7	5713	NM_002811	3.48	1.37	2.11
RPL37	6167	NM_000997	2.73	0.62	2.11
DDX18	8886	NM_006773	2.05	-0.06	2.11
MGC39558	148789	NM_152490	1.67	-0.43	2.1
MTF1	4520	NM_005955	1.86	-0.24	2.1
POU4F1	5457	NM_006237	1.13	-0.97	2.1
CASP4	837	NM_001225	2.41	0.32	2.09
WNT8A	7478	NM_031933	2.71	0.62	2.09
PIAS1	8554	NM_016166	2.11	0.02	2.09
ALPPL2	251	NM_031313	1.96	-0.13	2.09
DD5	51366	NM_015902	2.1	0.02	2.08
M6PRBP1	10226	NM_005817	5.66	3.58	2.08
CDR1	1038	NM_004065	1.4	-0.68	2.08
DSPP	1834	NM_014208	2.99	0.92	2.07
ETV3	2117	NM_005240	1.6	-0.47	2.07
CCNF	899	NM_001761	2.27	0.2	2.07
SUPT5H	6829	NM_003169	1.69	-0.38	2.07
SUV39H1	6839	NM_003173	0.96	-1.1	2.06
DGKH	160851	NM_152910	1.26	-0.79	2.05
GLUD1	2746	NM_005271	3.65	1.6	2.05
PRX	57716	NM_181882	2	-0.05	2.05
PDHX	8050	NM_003477	1.42	-0.63	2.05
CACNA1G	8913	NM_018896	5.29	3.25	2.04
LOC90557	90557	NM_138770	3.2	1.16	2.04
POM121L1	25812	NM_014348	4.21	2.17	2.04
THEG	51298	NM_016585	1.17	-0.86	2.03
PLCB4	5332	NM_000933	1.8	-0.22	2.02
TCERG1	10915	NM_006706	1.22	-0.8	2.02
RABL2B	11158	NM_007081	1.45	-0.57	2.02
NNMT	4837	NM_006169	1.88	-0.13	2.01
MESDC2	23184	XM_370880	2.11	0.1	2.01
PAFAH1B2	5049	NM_002572	1.76	-0.24	2
TPMT	7172	NM_000367	2.94	0.94	2
PTPN22	26191	NM_012411	2.94	0.94	2
CD34	947	NM_001773	1.61	-0.39	2
TRERF1	55809	NM_033502	2.8	0.8	2
EIF3S6	3646	NM_001568	1.69	-0.3	1.99
HP	3240	NM_005143	2.97	0.99	1.98
SMARCD2	6603	NM_003077	3.93	1.95	1.98
FCER1A	2205	NM_002001	4.35	2.37	1.98
GALGT	2583	NM_001478	1.52	-0.45	1.97
PCSK1	5122	NM_000439	1.75	-0.22	1.97
ST5	6764	NM_005418	1.47	-0.5	1.97
DMTF1	9988	NM_021145	0.55	-1.42	1.97
ELF4	2000	NM_001421	3.17	1.2	1.97
SMARCAL1	50485	NM_014140	0.46	-1.51	1.97
PPP1R12B	4660	NM_002481	0.79	-1.18	1.97
MSH3	4437	NM_002439	4.93	2.96	1.97
RRAD	6236	NM_004165	2.9	0.93	1.97
PLAGL1	5325	NM_002656	1.87	-0.09	1.96
OGDH	4967	NM_002541	1.4	-0.56	1.96
DDX11	1663	NM_004399	1.19	-0.77	1.96
MYBBP1A	10514	NM_014520	2	0.04	1.96
ME1	4199	NM_002395	1.33	-0.62	1.95
UPP1	7378	NM_003364	1.09	-0.86	1.95
UBL5	59286	NM_024292	1.36	-0.59	1.95
EEF1A2	1917	NM_001958	0.96	-0.99	1.95
ABHD9	79852	NM_024794	1.4	-0.55	1.95
SIAT1	6480	NM_003032	2.95	1.01	1.94
GNPDA1	10007	NM_005471	3.73	1.79	1.94
MCM4	4173	NM_005914	1.27	-0.67	1.94
WWOX	51741	NM_016373	1.37	-0.57	1.94
PBX2	5089	NM_002586	1.64	-0.3	1.94
PFKL	5211	NM_002626	3.66	1.73	1.93
PRDM13	59336	NM_021620	5.24	3.31	1.93
SALL1	6299	NM_002968	2.45	0.52	1.93
SH2D3C	10044	NM_005489	1.51	-0.42	1.93
ALDH7A1	501	NM_001182	4.72	2.79	1.93
KIF3C	3797	NM_002254	2.41	0.49	1.92
TIAF1	9220	NM_004740	3.14	1.22	1.92
PDLIM1	9124	NM_020992	1.69	-0.23	1.92
HOXB5	3215	NM_002147	2.42	0.5	1.92
CYP19A1	1588	NM_000103	0.91	-1.01	1.92
EIF5	1983	NM_001969	1.75	-0.17	1.92
WRN	7486	NM_000553	1.36	-0.55	1.91
CASP9	842	NM_001229	1.07	-0.84	1.91
PPP1R8	5511	NM_002713	0.93	-0.98	1.91
CHML	1122	NM_001821	0.3	-1.61	1.91
SPTLC1	10558	NM_006415	0.94	-0.97	1.91
RAB3-GAP150	25782	NM_012414	0.73	-1.18	1.91
CCS	9973	NM_005125	4.05	2.14	1.91
GPR132	29933	NM_013345	4.73	2.83	1.9
SF3A3	10946	NM_006802	1.36	-0.54	1.9
INPP5F	22876	NM_014937	1.64	-0.26	1.9
ZNF83	55769	NM_018300	2.29	0.39	1.9
TBX18	9096	XM_496819	0.95	-0.95	1.9
KNTC2	10403	NM_006101	4.44	2.55	1.89
SLC27A2	11001	NM_003645	0.81	-1.08	1.89
MLL2	8085	NM_003482	2.22	0.33	1.89
37499	23157	NM_015129	2.41	0.53	1.88
UNC13B	10497	NM_006377	1.08	-0.8	1.88
TYR	7299	NM_000372	2.05	0.17	1.88
ALDH2	217	NM_000690	2.67	0.79	1.88
RGL2	5863	NM_004761	1.19	-0.69	1.88
CPO	130749	NM_173077	1.29	-0.58	1.87
SET8	387893	NM_020382	0.84	-1.03	1.87
LTBR	4055	NM_002342	3.04	1.17	1.87
CDT6	10218	NM_021146	1.86	-0.01	1.87
RABL2A	11159	NM_007082	0.95	-0.92	1.87
AGER	177	NM_001136	3.62	1.76	1.86
KLRC4	8302	NM_013431	3.85	2.01	1.84
SHANK3	85358	XM_037493	3.68	1.84	1.84
SDHD	6392	NM_003002	5.91	4.07	1.84
TCF12	6938	NM_003205	1.92	0.08	1.84
PLA2G6	8398	NM_003560	0.46	-1.38	1.84
UBE2V2	7336	NM_003350	2.6	0.77	1.83
TRAM1	23471	NM_014294	1.03	-0.8	1.83
PLA2G1B	5319	NM_000928	2.54	0.71	1.83
DDX26	26512	NM_012141	2.59	0.76	1.83
TEP1	7011	NM_007110	2.26	0.43	1.83
NFYC	4802	NM_014223	2.35	0.53	1.82
MMP25	64386	NM_022468	1.85	0.03	1.82
DHX8	1659	NM_004941	1.49	-0.33	1.82
VIL1	7429	NM_007127	0.69	-1.13	1.82
PLAG1	5324	NM_002655	3.44	1.62	1.82
DHRS8	51170	NM_016245	1.01	-0.8	1.81
EXT2	2132	NM_000401	0.74	-1.07	1.81
PRIM2A	5558	NM_000947	0.89	-0.92	1.81
NNT	23530	NM_012343	2.24	0.44	1.8
CSF2	1437	NM_000758	4.32	2.52	1.8
HRMT1L2	3276	NM_001536	1.73	-0.07	1.8
BACH1	571	NM_001186	0.89	-0.91	1.8
TESK2	10420	NM_007170	1.36	-0.43	1.79
MYCL2	4611	NM_005377	1.78	-0.01	1.79
SIX1	6495	NM_005982	2.04	0.25	1.79
VDRIP	29079	NM_014166	2.8	1.01	1.79
BCAR3	8412	NM_003567	0.9	-0.88	1.78
LGALS7	3963	NM_002307	2.55	0.77	1.78
CSTA	1475	NM_005213	0.84	-0.94	1.78
SSX1	6756	NM_005635	2.06	0.29	1.77
ADAMTS17	170691	NM_139057	2.8	1.03	1.77
SRD5A1	6715	NM_001047	2.39	0.63	1.76
CLTB	1212	NM_001834	2.35	0.59	1.76
RAPGEF6	51735	NM_016340	3.14	1.38	1.76
DRB1	129831	NM_152945	1.79	0.03	1.76
PROZ	8858	NM_003891	0.77	-0.99	1.76
LHFP	10186	NM_005780	2.89	1.14	1.75
COPB2	9276	NM_004766	4.09	2.34	1.75
LMOD1	25802	NM_012134	0.86	-0.89	1.75
EEF1B2	1933	NM_001959	1.05	-0.7	1.75
HDAC4	9759	NM_006037	3.05	1.3	1.75
PP	5464	NM_021129	0.37	-1.37	1.74
CRAT	1384	NM_000755	1.54	-0.2	1.74
TNFSF4	7292	NM_003326	1.55	-0.19	1.74
ITSN2	50618	NM_006277	3	1.26	1.74
OPA3	80207	NM_025136	2.48	0.74	1.74
MEN1	4221	NM_000244	1.83	0.09	1.74
MCCC1	56922	NM_020166	0.7	-1.04	1.74
RGC32	28984	NM_014059	2.51	0.77	1.74
OR10H1	26539	NM_013940	5.67	3.94	1.73
MBTD1	54799	NM_017643	1.21	-0.52	1.73
FMR1	2332	NM_002024	2.33	0.6	1.73
CDCA1	83540	NM_031423	3.81	2.09	1.72
CAMKIINALPHA	55450	NM_018584	1.55	-0.17	1.72
DHCR24	1718	NM_014762	1.14	-0.58	1.72
NSDHL	50814	NM_015922	3.76	2.05	1.71
TRIM32	22954	NM_012210	3.19	1.48	1.71
TIEG2	8462	NM_003597	0.9	-0.81	1.71
TCL1B	9623	NM_004918	1.57	-0.14	1.71
DMPK	1760	NM_004409	4.66	2.96	1.7
STK6	6790	NM_003600	2.65	0.95	1.7
FXYD2	486	NM_001680	1.5	-0.2	1.7
CD81	975	NM_004356	1.76	0.06	1.7
GATA3	2625	NM_002051	3.15	1.45	1.7
LRRC14	9684	NM_014665	3.78	2.08	1.7
RPS6KB2	58988	NM_021485	2.28	0.58	1.7
MUC3A	4584	XM_374502	2.58	0.89	1.69
SMAD4	4089	NM_005359	0.89	-0.8	1.69
CGI-63	51102	NM_016011	0.91	-0.78	1.69
PHEX	5251	NM_000444	0.55	-1.14	1.69
TKT	7086	NM_001064	0.35	-1.34	1.69
TLR1	7096	NM_003263	2.29	0.61	1.68
ABCC10	89845	NM_033450	2.56	0.88	1.68
HOXA5	3202	NM_019102	1.59	-0.09	1.68
COMT	1312	NM_000754	2.45	0.77	1.68
NKIRAS1	28512	NM_020345	1	-0.68	1.68
GYS1	2997	NM_002103	1.42	-0.26	1.68
XPO1	7514	NM_003400	0.71	-0.97	1.68
UBE2M	9040	NM_003969	0.84	-0.84	1.68
F7	2155	NM_000131	0.52	-1.16	1.68
HES4	57801	NM_021170	2.28	0.6	1.68
ADAM18	8749	NM_014237	1.84	0.17	1.67
CBX5	23468	NM_012117	1.14	-0.53	1.67
HMGN2	3151	NM_005517	1.18	-0.49	1.67
ACIN1	22985	NM_014977	0.52	-1.15	1.67
KNS2	3831	NM_005552	0.47	-1.2	1.67
MARK2	2011	NM_004954	3.29	1.63	1.66
RRM2B	50484	NM_015713	2.35	0.69	1.66
FOXJ1	2302	NM_001454	3.14	1.48	1.66
PPP3CC	5533	NM_005605	3.31	1.66	1.65
ARHI	9077	NM_004675	0.35	-1.3	1.65
MMP19	4327	NM_002429	1.26	-0.39	1.65
DGAT1	8694	NM_012079	0.59	-1.05	1.64
GP1BB	2812	NM_000407	2.29	0.65	1.64
AUH	549	NM_001698	0.6	-1.04	1.64
MMP26	56547	NM_021801	0.85	-0.79	1.64
FLJ13710	79875	NM_024817	1.49	-0.15	1.64
NFKBIA	4792	NM_020529	0.5	-1.14	1.64
ADAM29	11086	NM_014269	2.12	0.49	1.63
CALB1	793	NM_004929	1.71	0.08	1.63
ALF	11036	NM_006872	0.6	-1.03	1.63
PPP1R7	5510	NM_002712	0.67	-0.96	1.63
GPR84	53831	NM_020370	2.89	1.27	1.62
TRPM1	4308	NM_002420	2.08	0.46	1.62
GSPT1	2935	NM_002094	2.75	1.13	1.62
TGIF	7050	NM_003244	3.06	1.44	1.62
THRSP	7069	NM_003251	3.68	2.06	1.62
TYMS	7298	NM_001071	0	-1.62	1.62
TAX1BP2	10883	U25801	1.64	0.02	1.62
OPRL1	4987	NM_000913	3.31	1.7	1.61
RPS27	6232	NM_001030	1.51	-0.1	1.61
ETV7	51513	NM_016135	2.31	0.7	1.61
ISL2	64843	NM_145805	1.35	-0.26	1.61
LCAT	3931	NM_000229	1.29	-0.32	1.61
C4A	720	NM_007293	0.8	-0.81	1.61
TK1	7083	NM_003258	3.96	2.35	1.61
SQLE	6713	NM_003129	2.07	0.46	1.61
ABHD2	11057	NM_007011	0.64	-0.97	1.61
ATP13A	57130	NM_020410	1.19	-0.42	1.61
